train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
386.986083984375,0,4,,,,,,
,0,5,145063.609375,237.68524169921875,,,,
,0,5,,,715415.1875,561.4573364257812,,
273.8439025878906,1,9,,,,,,
,1,11,131679.78125,236.43267822265625,,,,
,1,11,,,160950.921875,255.31130981445312,,
172.90916442871094,2,14,,,,,,
,2,17,134666.875,236.62631225585938,,,,
,2,17,,,178127.140625,260.60455322265625,,
275.8006286621094,3,19,,,,,,
,3,23,123138.7734375,243.0551300048828,,,,
,3,23,,,166257.6875,257.443359375,,
225.44509887695312,4,24,,,,,,
307.94244384765625,4,29,,,,,,
,4,29,122530.0546875,245.79356384277344,,,,
,4,29,,,163028.0625,257.68463134765625,,
220.17562866210938,5,34,,,,,,
,5,35,165144.5,297.5544128417969,,,,
,5,35,,,150444.046875,255.81256103515625,,
326.6078186035156,6,39,,,,,,
,6,41,126539.5,259.1667175292969,,,,
,6,41,,,169398.0625,284.8157043457031,,
223.18589782714844,7,44,,,,,,
,7,47,159280.609375,270.1218566894531,,,,
,7,47,,,144211.46875,254.54368591308594,,
255.6947479248047,8,49,,,,,,
,8,53,142677.765625,258.9345397949219,,,,
,8,53,,,140675.8125,247.3400421142578,,
233.92031860351562,9,54,,,,,,
291.3975830078125,9,59,,,,,,
,9,59,124864.296875,257.60107421875,,,,
,9,59,,,149062.59375,253.3755645751953,,
200.06741333007812,10,64,,,,,,
,10,65,137412.375,254.96510314941406,,,,
,10,65,,,122147.875,233.36814880371094,,
241.2627716064453,11,69,,,,,,
,11,71,151734.234375,265.90435791015625,,,,
,11,71,,,140882.75,240.98260498046875,,
233.373291015625,12,74,,,,,,
,12,77,161223.484375,303.43487548828125,,,,
,12,77,,,155584.375,262.3018493652344,,
304.51007080078125,13,79,,,,,,
,13,83,131061.03125,249.78839111328125,,,,
,13,83,,,173899.9375,272.5399475097656,,
260.7254638671875,14,84,,,,,,
364.27044677734375,14,89,,,,,,
,14,89,126509.6953125,250.2177276611328,,,,
,14,89,,,140669.828125,255.00746154785156,,
228.98233032226562,15,94,,,,,,
,15,95,130326.7421875,249.27548217773438,,,,
,15,95,,,147641.90625,253.429931640625,,
275.79388427734375,16,99,,,,,,
,16,101,121073.546875,249.176513671875,,,,
,16,101,,,153676.671875,257.9370422363281,,
234.09352111816406,17,104,,,,,,
,17,107,130414.6796875,251.43641662597656,,,,
,17,107,,,136450.28125,246.55535888671875,,
186.2970428466797,18,109,,,,,,
,18,113,129382.171875,267.25732421875,,,,
,18,113,,,154907.140625,258.53179931640625,,
324.2638244628906,19,114,,,,,,
274.8932800292969,19,119,,,,,,
,19,119,146897.640625,286.56378173828125,,,,
,19,119,,,119403.359375,241.43138122558594,,
188.05377197265625,20,124,,,,,,
,20,125,124054.125,247.76048278808594,,,,
,20,125,,,143236.890625,257.5712890625,,
205.62887573242188,21,129,,,,,,
,21,131,138248.453125,256.2023010253906,,,,
,21,131,,,134268.859375,242.569091796875,,
216.28524780273438,22,134,,,,,,
,22,137,121848.4296875,256.43402099609375,,,,
,22,137,,,130172.4765625,240.00704956054688,,
199.2903594970703,23,139,,,,,,
,23,143,144425.265625,289.45355224609375,,,,
,23,143,,,141140.640625,241.2065887451172,,
258.863037109375,24,144,,,,,,
316.6322021484375,24,149,,,,,,
,24,149,117662.6015625,249.48228454589844,,,,
,24,149,,,139438.28125,255.2156219482422,,
251.430419921875,25,154,,,,,,
,25,155,129531.3203125,247.48475646972656,,,,
,25,155,,,115766.421875,235.7288360595703,,
181.1637420654297,26,159,,,,,,
,26,161,122594.3203125,255.49559020996094,,,,
,26,161,,,116741.78125,229.23239135742188,,
332.54754638671875,27,164,,,,,,
,27,167,120526.796875,239.74639892578125,,,,
,27,167,,,165156.484375,279.32086181640625,,
216.40708923339844,28,169,,,,,,
,28,173,117155.1796875,240.0863800048828,,,,
,28,173,,,129157.2109375,236.53359985351562,,
263.6079406738281,29,174,,,,,,
207.1940460205078,29,179,,,,,,
,29,179,118071.2421875,237.91302490234375,,,,
,29,179,,,126243.84375,233.0614013671875,,
277.3965148925781,30,184,,,,,,
,30,185,113508.8671875,242.18678283691406,,,,
,30,185,,,110427.703125,234.9197540283203,,
309.783203125,31,189,,,,,,
,31,191,115129.6484375,238.96990966796875,,,,
,31,191,,,157835.625,262.1488037109375,,
278.01007080078125,32,194,,,,,,
,32,197,126245.8515625,246.54371643066406,,,,
,32,197,,,130559.3828125,232.61756896972656,,
220.89573669433594,33,199,,,,,,
,33,203,114931.796875,230.42471313476562,,,,
,33,203,,,129828.625,240.9913330078125,,
162.4853515625,34,204,,,,,,
212.04635620117188,34,209,,,,,,
,34,209,115960.375,234.58935546875,,,,
,34,209,,,135628.90625,237.09446716308594,,
253.19871520996094,35,214,,,,,,
,35,215,111678.09375,227.340087890625,,,,
,35,215,,,112973.0546875,215.77706909179688,,
252.94302368164062,36,219,,,,,,
,36,221,143106.265625,250.34278869628906,,,,
,36,221,,,130526.1796875,235.8887481689453,,
224.2379913330078,37,224,,,,,,
,37,227,135920.328125,244.7956085205078,,,,
,37,227,,,137456.234375,245.51742553710938,,
245.49649047851562,38,229,,,,,,
,38,233,107365.1171875,239.95533752441406,,,,
,38,233,,,119372.8203125,230.76611328125,,
250.9781036376953,39,234,,,,,,
199.40928649902344,39,239,,,,,,
,39,239,102426.078125,217.95091247558594,,,,
,39,239,,,101171.671875,220.84933471679688,,
219.94036865234375,40,244,,,,,,
,40,245,111266.4765625,222.0341339111328,,,,
,40,245,,,113683.8828125,225.5830078125,,
207.25698852539062,41,249,,,,,,
,41,251,109882.3046875,220.71646118164062,,,,
,41,251,,,112247.2109375,219.19500732421875,,
179.76083374023438,42,254,,,,,,
,42,257,96417.3046875,224.04803466796875,,,,
,42,257,,,94067.859375,212.2409210205078,,
196.39434814453125,43,259,,,,,,
,43,263,98547.6796875,225.19349670410156,,,,
,43,263,,,147602.65625,252.09510803222656,,
193.59515380859375,44,264,,,,,,
191.9988555908203,44,269,,,,,,
,44,269,94222.140625,211.94857788085938,,,,
,44,269,,,112292.1796875,226.01182556152344,,
219.92010498046875,45,274,,,,,,
,45,275,104263.09375,215.213623046875,,,,
,45,275,,,97885.6015625,213.7154083251953,,
176.69369506835938,46,279,,,,,,
,46,281,132240.9375,276.9994812011719,,,,
,46,281,,,131006.3671875,230.00067138671875,,
193.1400604248047,47,284,,,,,,
,47,287,101768.828125,226.17408752441406,,,,
,47,287,,,141455.734375,256.12811279296875,,
255.47824096679688,48,289,,,,,,
,48,293,121186.9453125,263.98388671875,,,,
,48,293,,,89826.8515625,205.2710723876953,,
338.38446044921875,49,294,,,,,,
198.8672637939453,49,299,,,,,,
,49,299,104098.5546875,229.50112915039062,,,,
,49,299,,,108526.7890625,236.13345336914062,,
,50,300,,,,,104098.5546875,229.50112915039062
